subtype,method_set,row,component_type,2013-S,2013-N,2014-S,2014-N,2015-S,2015-N,2016-S,2016-N,2017-S,2017-N,2018-S,2018-N,2019-S,2019-N,2020-S,2020-N,2021-S,2021-N,2022-S,2022-N,2023-S,2023-N,2024-S,2024-N
H1N1,freq,FutureFlu E freq,single,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.2; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A.5a; truth=6B.1A.5a.1,X: pred=6B.1A.5a; truth=6B.1A.5a.2,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.2; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a
H1N1,freq,FutureFlu G freq,single,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A.5a; truth=6B.1A.5a.1,X: pred=6B.1A.5a; truth=6B.1A.5a.2,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a
H1N1,freq,FutureFlu D freq,single,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A; truth=6B.1A.5a.1,X: pred=6B.1A.5a; truth=6B.1A.5a.2,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.2; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a
H1N1,freq,FutureFlu E+G freq,two,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A.5a; truth=6B.1A.5a.1,X: pred=6B.1A.5a; truth=6B.1A.5a.2,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.2; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a
H1N1,freq,FutureFlu E+D freq,two,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A.5a; truth=6B.1A.5a.1,X: pred=6B.1A.5a; truth=6B.1A.5a.2,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.2; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a
H1N1,freq,FutureFlu G+D freq,two,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A; truth=6B.1A.5a.1,X: pred=6B.1A.5a; truth=6B.1A.5a.2,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.2; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a
H1N1,freq,FutureFlu E+G+D freq,three,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A; truth=6B.1A.5a,X: pred=6B.1A.5a; truth=6B.1A.5a.1,X: pred=6B.1A.5a; truth=6B.1A.5a.2,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.2; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.1; truth=6B.1A.5a.1,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a
H1N1,freq,EVEscape total_escape,evescape_single_component,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A.1; truth=6B.1A.5a,X: pred=6B.1A.1; truth=6B.1A.5a,X: pred=6B.1A.5b; truth=6B.1A.5a.1,X: pred=6B.1A.5b; truth=6B.1A.5a.2,X: pred=6B.1A.5b; truth=6B.1A.5a.1,X: pred=6B.1A.5a.2; truth=6B.1A.5a.1,X: pred=6B.1A.5b; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a
H1N1,freq,EVEscape fitness_eve,evescape_single_component,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A.1; truth=6B.1A,X: pred=6B.1A.1; truth=6B.1A.5a,X: pred=6B.1A.1; truth=6B.1A.5a,X: pred=6B.1A.5b; truth=6B.1A.5a.1,X: pred=6B.1A.5b; truth=6B.1A.5a.2,X: pred=6B.1A.5b; truth=6B.1A.5a.1,X: pred=6B.1A.5a.2; truth=6B.1A.5a.1,X: pred=6B.1A.5b; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a
H1N1,freq,EVEscape dissimilarity_charge_hydro,evescape_single_component,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A.1; truth=6B.1A.5a,X: pred=6B.1A.1; truth=6B.1A.5a,X: pred=6B.1A.5b; truth=6B.1A.5a.1,X: pred=6B.1A.5b; truth=6B.1A.5a.2,X: pred=6B.1A.5b; truth=6B.1A.5a.1,X: pred=6B.1A.5a.2; truth=6B.1A.5a.1,X: pred=6B.1A.5b; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a
H1N1,freq,EVEscape accessibility_wcn,evescape_single_component,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,OK: pred=6B.1; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.2; truth=6B.1,X: pred=6B.1; truth=6B.1A,X: pred=6B.1; truth=6B.1A,X: pred=6B.1A.1; truth=6B.1A.5a,X: pred=6B.1A.5b; truth=6B.1A.5a,X: pred=6B.1A.5b; truth=6B.1A.5a.1,X: pred=6B.1A.5b; truth=6B.1A.5a.2,X: pred=6B.1A.5b; truth=6B.1A.5a.1,X: pred=6B.1A.5a.2; truth=6B.1A.5a.1,X: pred=6B.1A.5b; truth=6B.1A.5a.1,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.1; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,OK: pred=6B.1A.5a.2a; truth=6B.1A.5a.2a,X: pred=6B.1A.5a.2a.1; truth=6B.1A.5a.2a
